order_id,qty,price,ordered_on,status,notes
ORD-00000001,24,153.79,2026-02-02,void,ok
ORD-00000002,33,127.71,2026-01-25,new,ok
ORD-00000003,13,128.91,2026-05-05,new,ok
ORD-00000004,8,338.92,2026-01-08,new,ok
ORD-00000005,27,441.54,2026-03-03,paid,ok
ORD-00000006,29,40.32,2026-05-24,void,ok
ORD-00000007,4,264.88,2026-07-06,paid,ok
ORD-00000008,16,382.69,2026-03-23,void,ok
ORD-00000009,14,24.51,2026-01-18,void,ok
ORD-00000010,25,237.53,2026-01-16,paid,ok
ORD-00000011,20,88.23,2026-01-07,void,ok
ORD-00000012,26,424.61,2026-05-24,paid,ok
ORD-00000013,38,68.66,2026-02-22,new,ok
ORD-00000014,10,227.93,2026-02-23,void,ok
ORD-00000015,33,131.21,2026-04-09,new,ok
ORD-00000016,2,378.86,2026-08-08,paid,ok
ORD-00000017,23,406.74,2026-04-05,paid,ok
ORD-00000018,40,387.18,2026-01-11,paid,ok
ORD-00000019,12,11.34,2026-01-28,paid,ok
ORD-00000020,"1,000",313.90,2026-08-14,new,ok
ORD-00000021,11,316.61,2026-06-16,paid,ok
ORD-00000022,5,471.29,2026-02-15,new,ok
ORD-00000023,30,114.63,2026-03-02,new,ok
ORD-00000024,35,497.68,2026-01-21,void,ok
ORD-00000025,28,249.13,2026-01-28,new,ok
ORD-00000026,26,337.89,2026-06-18,paid,ok
ORD-00000027,34,388.78,2026-01-04,new,ok
ORD-00000028,13,146.24,2026-01-06,new,ok
ORD-00000029,21,120.25,2026-05-10,paid,ok
ORD-00000030,26,141.06,2026-08-03,new,ok
ORD-00000031,38,280.54,2026-06-10,new,ok
ORD-00000032,3,257.27,2026-06-26,paid,ok
ORD-00000033,25,6.53,2026-09-28,void,ok
ORD-00000034,22,292.19,2026-08-15,paid,ok
ORD-00000035,9,352.49,2026-08-06,void,ok
ORD-00000036,30,86.09,2026-03-25,paid,ok
ORD-00000037,21,392.45,2026-03-15,new,ok
ORD-00000038,38,239.47,2026-08-19,paid,ok
ORD-00000039,17,355.10,2026-03-03,new,ok
ORD-00000040,5,$130.60,2026-07-27,new,ok
ORD-00000041,26,176.38,2026-01-04,void,ok
ORD-00000042,29,18.42,2026-09-27,paid,ok
ORD-00000043,32,398.68,2026-08-06,void,ok
ORD-00000044,27,408.53,2026-09-20,paid,ok
ORD-00000045,35,136.42,2026-06-10,void,ok
ORD-00000046,16,39.76,2026-08-04,paid,ok
ORD-00000047,13,371.72,2026-01-13,paid,ok
ORD-00000048,31,392.17,2026-08-07,paid,ok
ORD-00000049,12,268.29,2026-04-24,paid,ok
ORD-00000050,38,43.96,2026-09-17,paid,ok
ORD-00000051,9,425.34,2026-01-26,paid,ok
ORD-00000052,10,141.75,2026-08-28,new,ok
ORD-00000053,8,162.04,2026-07-19,paid,ok
ORD-00000054,31,105.17,2026-04-26,paid,ok
ORD-00000055,33,98.15,2026-06-20,void,ok
ORD-00000056,16,54.40,2026-06-19,new,ok
