order_id,order_date,customer,email,category,quantity,unit_price
ORD-0065,10 Apr 2026,Acme  Corp, orders@acmecorp.com ,software,15,"$2,415.52"
ORD-0198,06.02.2026,Acme  Corp,ORDERS@acmecorp.com,electronics,3,USD 623.64
ORD-0103,10 Feb 2026,Lumen Print  ,orders@lumenprint.com,Services ,3,TBD
ORD-0203,"February 14, 2026",Harbor Lights, orders@harborlights.com ,FURNITURE,3,"USD 1,446.78"
ORD-0254,03.02.2026,  Harbor Lights,ORDERS@harborlights.com,Services,18,"USD 1,217.09"
ORD-0020,19/05/2026,Delta  Freight,ORDERS@deltafreight.com,SOFTWARE,15,$ 2363.28
ORD-0115,02 Apr 2026,  Evergreen Foods,orders@evergreenfoods.com,Office ,19,"$1,792.29"
ORD-0040,24.04.2026,Cobalt  Studio,ORDERS@cobaltstudio.com,Services,4,$202.24
ORD-0297,"March 10, 2026",EVERGREEN FOODS,orders@evergreenfoods.com,Office ,9,"USD 1,108.89"
ORD-0245,"June 06, 2026",  Cobalt Studio, orders@cobaltstudio.com ,Furniture,13,1759.41
ORD-0089,18.03.2026,  Harbor Lights,ORDERS@harborlights.com,Services,20,1945.09
ORD-0228,2026-06-26,Lumen Print  ,ORDERS@lumenprint.com,furniture,2,$ 1534.67
ORD-0052,2026-05-21,granite tools,ORDERS@granitetools.com,Office ,19,"USD 1,595.32"
ORD-0095,14 Apr 2026,Lumen Print  , orders@lumenprint.com ,Software ,3,1572.71
ORD-0290,06/05/2026,harbor lights, orders@harborlights.com ,Software ,6,$ 1786.77
ORD-0130,2026-06-17,  Granite Tools, orders@granitetools.com ,SOFTWARE,2,"USD 1,814.52"
ORD-0274,2026-02-07,lumen print, orders@lumenprint.com ,Services ,99,$404.53
ORD-0120,"June 18, 2026",acme corp,orders@acmecorp.com,Services,20,$ 1958.42
ORD-0145,2026-04-19,kestrel media, orders@kestrelmedia.com ,FURNITURE,4,"$1,519.97"
ORD-0241,17/04/2026,Cobalt Studio,ORDERS@cobaltstudio.com,software,10,2303.32
ORD-0247,26 Mar 2026,Evergreen Foods  , orders@evergreenfoods.com ,Services,9,"USD 1,718.59"
ORD-0001,2026-01-29,Kestrel  Media,ORDERS@kestrelmedia.com,office,5,1935.61
ORD-0206,2026-01-23,juniper labs,ORDERS@juniperlabs.com,Software ,99,2163.33
ORD-0011,"June 17, 2026",  Delta Freight, orders@deltafreight.com ,software,9,$371.03
ORD-0132,12 Apr 2026,ACME CORP,orders@acmecorp.com,Software,7,1687.18
ORD-0220,13 Jan 2026,  Acme Corp, orders@acmecorp.com ,SOFTWARE,18,26.43
ORD-0087,"January 17, 2026",  Blue Ridge Bakery,orders@blueridgebakery.com,Services,5,USD 396.11
ORD-0282,"March 10, 2026",Fox and Finch,ORDERS@foxandfinch.com,Software ,19,$642.55
ORD-0137,12.05.2026,Fox and Finch,ORDERS@foxandfinch.com,services,20,USD 118.67
